                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.94529,                0.62592,                  0.965,                0.88888,                0.79402,                0.87519,                0.62419,                0.79885,                0.49175,                 0.9254,               0.006436,               0.006436,               0.006436
                     38,                0.93509,                0.61926,                0.96092,                0.90782,                0.78477,                0.87526,                0.62155,                0.79377,                0.48903,                0.92271,               0.006337,               0.006337,               0.006337
                     39,                0.93518,                0.61679,                0.96121,                0.90294,                0.76722,                 0.8732,                0.62228,                0.78965,                0.48759,                0.92342,               0.006238,               0.006238,               0.006238
                     40,                0.93463,                0.61762,                0.95969,                0.85514,                0.80579,                 0.8786,                0.62916,                0.78281,                0.48024,                0.91905,               0.006139,               0.006139,               0.006139
                     41,                0.92801,                0.61123,                0.96032,                0.86817,                0.81112,                0.88702,                0.63834,                0.77696,                0.47636,                0.91729,                0.00604,                0.00604,                0.00604
                     42,                0.92183,                0.60738,                0.95716,                0.88098,                0.82218,                0.88991,                0.63822,                0.77591,                0.47347,                0.91758,               0.005941,               0.005941,               0.005941
                     43,                0.92055,                0.60416,                0.95454,                0.88944,                0.79485,                0.88856,                0.64307,                0.77104,                0.47036,                 0.9163,               0.005842,               0.005842,               0.005842
                     44,                0.91975,                0.60146,                0.95318,                0.90106,                0.81647,                0.89486,                0.64623,                0.76127,                0.46577,                0.91061,               0.005743,               0.005743,               0.005743
                     45,                 0.9111,                0.59652,                0.95273,                0.88664,                0.81654,                0.89514,                0.65053,                0.76144,                0.46847,                0.91166,               0.005644,               0.005644,               0.005644
                     46,                0.90275,                0.59395,                 0.9519,                0.89973,                0.80693,                0.89502,                0.65087,                0.75404,                0.45792,                0.90861,               0.005545,               0.005545,               0.005545
                     47,                0.90304,                0.58962,                0.94889,                 0.8929,                0.80548,                0.89509,                0.65495,                0.74891,                0.45898,                 0.9068,               0.005446,               0.005446,               0.005446
                     48,                0.90044,                0.58614,                0.94697,                 0.9152,                0.80343,                0.89732,                0.65613,                0.74839,                0.45751,                 0.9059,               0.005347,               0.005347,               0.005347
                     49,                0.89857,                 0.5846,                0.94856,                0.89683,                 0.8264,                 0.8972,                0.65225,                  0.742,                0.45093,                 0.9056,               0.005248,               0.005248,               0.005248
                     50,                0.88962,                0.57873,                0.94258,                0.91299,                0.82919,                0.90371,                0.66133,                0.73744,                0.44875,                0.90255,               0.005149,               0.005149,               0.005149
                     51,                0.88947,                0.57898,                0.94479,                0.89014,                0.85018,                 0.9067,                0.66464,                0.73799,                0.44567,                0.90349,                0.00505,                0.00505,                0.00505
                     52,                0.88519,                0.57775,                0.94185,                 0.8908,                0.83999,                0.90614,                0.66989,                  0.731,                0.44404,                0.90109,               0.004951,               0.004951,               0.004951
                     53,                0.87536,                0.56735,                0.93967,                0.91516,                0.83721,                0.90718,                 0.6693,                0.72522,                0.43995,                0.89997,               0.004852,               0.004852,               0.004852
                     54,                0.88559,                0.57741,                0.94192,                0.90273,                0.83964,                0.90861,                0.67089,                0.72384,                0.44143,                 0.8997,               0.004753,               0.004753,               0.004753
                     55,                0.88803,                0.57906,                0.94476,                0.90311,                0.84818,                0.91158,                0.67346,                0.71878,                0.44108,                 0.8972,               0.004654,               0.004654,               0.004654
                     56,                0.87036,                0.56322,                0.93559,                0.89105,                0.86207,                0.91058,                0.67443,                0.71619,                0.43598,                0.89678,               0.004555,               0.004555,               0.004555
                     57,                 0.8747,                 0.5691,                0.94013,                0.90359,                0.84858,                0.91397,                0.68049,                0.71284,                0.43547,                0.89502,               0.004456,               0.004456,               0.004456
                     58,                0.86844,                 0.5622,                0.93625,                 0.8946,                0.84974,                0.90754,                 0.6746,                0.71179,                0.43506,                0.89496,               0.004357,               0.004357,               0.004357
                     59,                0.86792,                0.56077,                0.93834,                 0.9146,                0.84767,                0.91809,                0.68743,                0.70647,                0.43161,                0.89239,               0.004258,               0.004258,               0.004258
                     60,                0.86012,                0.55634,                0.93701,                0.92428,                0.84991,                0.91839,                0.68839,                0.70226,                0.42905,                0.89124,               0.004159,               0.004159,               0.004159
                     61,                0.85732,                 0.5533,                0.93298,                0.91535,                0.84743,                0.91712,                0.69034,                0.69981,                0.42603,                0.89087,                0.00406,                0.00406,                0.00406
                     62,                0.85796,                0.55243,                0.93287,                0.93179,                0.84551,                0.91837,                 0.6879,                0.69545,                0.42462,                0.88854,               0.003961,               0.003961,               0.003961
                     63,                 0.8525,                0.55008,                0.93093,                0.92598,                0.85084,                0.92314,                0.69725,                0.69221,                0.42193,                0.88846,               0.003862,               0.003862,               0.003862
                     64,                0.84689,                0.54585,                0.92953,                 0.9196,                0.84918,                0.92182,                0.69614,                0.68522,                0.42038,                0.88522,               0.003763,               0.003763,               0.003763
                     65,                0.85018,                 0.5476,                0.93026,                0.90855,                 0.8602,                0.92409,                0.70131,                0.68642,                0.41912,                0.88509,               0.003664,               0.003664,               0.003664
                     66,                0.84877,                0.54919,                 0.9315,                0.94553,                0.84214,                0.92424,                0.69932,                0.68406,                 0.4166,                0.88454,               0.003565,               0.003565,               0.003565
                     67,                 0.8436,                0.54135,                0.92735,                0.93976,                0.84253,                0.92813,                0.70305,                0.68174,                 0.4145,                0.88377,               0.003466,               0.003466,               0.003466
                     68,                0.83788,                0.53897,                0.92696,                0.94754,                  0.836,                0.92527,                0.70201,                0.68056,                0.41244,                0.88384,               0.003367,               0.003367,               0.003367
                     69,                0.83705,                0.53704,                0.92665,                0.93697,                0.83815,                0.92427,                0.70332,                0.67647,                0.41089,                0.88286,               0.003268,               0.003268,               0.003268
                     70,                0.83205,                0.53334,                0.92612,                0.93784,                0.84762,                0.92771,                0.70729,                0.67531,                0.40917,                0.88168,               0.003169,               0.003169,               0.003169
                     71,                0.83187,                0.53614,                0.92533,                0.95214,                0.83813,                 0.9285,                0.70848,                0.67232,                0.40667,                0.88113,                0.00307,                0.00307,                0.00307
                     72,                0.82401,                0.52962,                0.92301,                0.96575,                0.84192,                0.93111,                0.71358,                0.67231,                 0.4077,                0.88136,               0.002971,               0.002971,               0.002971
                     73,                0.82283,                0.52662,                0.92295,                0.93697,                0.84796,                0.93102,                0.71339,                0.67022,                0.40488,                0.88014,               0.002872,               0.002872,               0.002872
                     74,                0.82558,                0.52908,                0.92343,                0.93369,                0.85787,                0.93487,                0.71451,                0.66675,                0.40395,                0.87881,               0.002773,               0.002773,               0.002773
                     75,                0.81989,                 0.5257,                0.91956,                0.93008,                0.86462,                0.93259,                0.71524,                0.66395,                0.40288,                0.87797,               0.002674,               0.002674,               0.002674
                     76,                0.81399,                0.51927,                0.91705,                0.93899,                0.84964,                0.92912,                0.71611,                0.66044,                0.40074,                0.87661,               0.002575,               0.002575,               0.002575
                     77,                0.81331,                0.52044,                0.91845,                0.94491,                0.84911,                0.93567,                0.72114,                0.65984,                 0.3999,                0.87638,               0.002476,               0.002476,               0.002476
                     78,                0.80575,                0.51437,                0.91703,                0.94993,                0.84659,                0.93386,                0.72083,                 0.6579,                0.39876,                0.87568,               0.002377,               0.002377,               0.002377
